ticker,nome_pregao,cod_cvm,segmento,cnpj,nome_cvm,setor,sit,nome,tipo
BETP3,BETAPART,017884,Outros,02.762.124/0001-30,BETAPART PARTICIPAÇÕES SA,Adm. Part. - Crédito Imobiliário,ATIVO,BETAPART PARTICIPAÇÕES SA,acao
BMKS3,BIC MONARK,001694,Bicicletas,56.992.423/0001-90,BICICLETAS MONARK SA,Brinquedos e Lazer,ATIVO,BICICLETAS MONARK SA,acao
BIED3,BIOMA EDUC,000701,Serviços Educacionais,45.987.245/0001-92,BIOMA EDUCAÇÃO S.A.,Adm. Part. - Educação,ATIVO,BIOMA EDUCAÇÃO S.A.,acao
BIOM3,BIOMM,019305,Medicamentos e Outros Produtos,04.752.991/0001-10,BIOMM SA,Farmacêutico e Higiene,ATIVO,BIOMM SA,acao
BIOM13,BIOMM,019305,Medicamentos e Outros Produtos,04.752.991/0001-10,BIOMM SA,Farmacêutico e Higiene,ATIVO,BIOMM SA,acao
BIOM14,BIOMM,019305,Medicamentos e Outros Produtos,04.752.991/0001-10,BIOMM SA,Farmacêutico e Higiene,ATIVO,BIOMM SA,acao
BIOM11,BIOMM,019305,Medicamentos e Outros Produtos,04.752.991/0001-10,BIOMM SA,Farmacêutico e Higiene,ATIVO,BIOMM SA,fii
BLAU3,BLAU,024627,Medicamentos e Outros Produtos,58.430.828/0001-60,BLAU FARMACÊUTICA S.A.,Farmacêutico e Higiene,ATIVO,BLAU FARMACÊUTICA S.A.,acao
SOJA3,BOA SAFRA,025704,Agricultura,10.807.374/0001-77,BOA SAFRA SEMENTES S.A,Alimentos,ATIVO,BOA SAFRA SEMENTES S.A,acao
BOBR3,BOMBRIL,012190,Produtos de Limpeza,50.564.053/0001-03,BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,Farmacêutico e Higiene,ATIVO,BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,acao
BOBR4,BOMBRIL,012190,Produtos de Limpeza,50.564.053/0001-03,BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,Farmacêutico e Higiene,ATIVO,BOMBRIL S.A. - EM RECUPERAÇÃO JUDICIAL,acao
BRAP3,BRADESPAR,018724,Minerais Metálicos,03.847.461/0001-92,BRADESPAR S/A,Adm. Part. - Extração Mineral,ATIVO,BRADESPAR S/A,acao
BRAP4,BRADESPAR,018724,Minerais Metálicos,03.847.461/0001-92,BRADESPAR S/A,Adm. Part. - Extração Mineral,ATIVO,BRADESPAR S/A,acao
SAUD3,BRADSAUDE,020125,Serv.Méd.Hospit..Análises e Diagnósticos,58.119.199/0001-51,BRADSAÚDE S.A.,Serviços Médicos,ATIVO,BRADSAÚDE S.A.,acao
AGRO3,BRASILAGRO,020036,Agricultura,07.628.528/0001-59,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,"Agricultura (Açúcar, Álcool e Cana)",ATIVO,BRASILAGRO CIA BRAS DE PROP AGRICOLAS,acao
BRKM3,BRASKEM,004820,Petroquímicos,42.150.391/0001-70,BRASKEM S.A.,Petroquímicos e Borracha,ATIVO,BRASKEM S.A.,acao
BRKM5,BRASKEM,004820,Petroquímicos,42.150.391/0001-70,BRASKEM S.A.,Petroquímicos e Borracha,ATIVO,BRASKEM S.A.,acao
BRKM6,BRASKEM,004820,Petroquímicos,42.150.391/0001-70,BRASKEM S.A.,Petroquímicos e Borracha,ATIVO,BRASKEM S.A.,acao
BRAV3,BRAVA,025291,Exploração. Refino e Distribuição,12.091.809/0001-55,BRAVA ENERGIA S.A.,Petróleo e Gás,ATIVO,BRAVA ENERGIA S.A.,acao
GROP31,POTASSIO BR,059434,Não Classificados,,,,,POTASSIO BR,acao
BSLI3,BRB BANCO,014206,Bancos,00.000.208/0001-00,BRB BANCO DE BRASILIA SA,Bancos,ATIVO,BRB BANCO DE BRASILIA SA,acao
BSLI4,BRB BANCO,014206,Bancos,00.000.208/0001-00,BRB BANCO DE BRASILIA SA,Bancos,ATIVO,BRB BANCO DE BRASILIA SA,acao
BSLI10,BRB BANCO,014206,Bancos,00.000.208/0001-00,BRB BANCO DE BRASILIA SA,Bancos,ATIVO,BRB BANCO DE BRASILIA SA,acao
BSLI9,BRB BANCO,014206,Bancos,00.000.208/0001-00,BRB BANCO DE BRASILIA SA,Bancos,ATIVO,BRB BANCO DE BRASILIA SA,acao
BRBI11,BR PARTNERS,025860,Bancos,10.739.356/0001-03,BRBI BR PARTNERS S.A,Adm. Part. - Bancos,ATIVO,BRBI BR PARTNERS S.A,fii
BRST3,BRISANET,027693,Telecomunicações,04.601.397/0001-28,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,Telecomunicações,ATIVO,BRISANET SERVIÇOS DE TELECOMUNICAÇÕES S.A.,acao
BRQB3,BRQ,023817,Programas e Serviços,36.542.025/0001-64,BRQ SOLUÇÕES EM INFORMÁTICA S.A.,Comunicação e Informática,ATIVO,BRQ SOLUÇÕES EM INFORMÁTICA S.A.,acao
